,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Arian Foster,HOU,RB,24,16,13,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,3,2,18,,,326,392.0,400.0,359.0,190,1,1,FostAr00
2,Adrian Peterson,MIN,RB,25,15,15,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,1,1,13,,,240,275.9,282.9,257.9,104,2,2,PeteAd01
3,Jamaal Charles,KAN,RB,24,16,6,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,3,2,8,,,238,282.5,290.5,260.0,102,3,3,CharJa00
4,Peyton Hillis,CLE,RB,24,16,14,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,8,5,13,,,234,294.9,305.9,264.4,98,4,4,HillPe00
5,Chris Johnson,TEN,RB,25,16,16,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,3,2,12,,,229,272.9,280.9,250.9,93,5,5,JohnCh04
6,Brandon Lloyd,DEN,WR,29,16,11,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,0,,11,,,209,286.0,289.0,247.5,91,1,6,LloyBr00
7,Dwayne Bowe,KAN,WR,26,16,16,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,1,,15,,,207,278.6,281.6,242.6,89,2,7,BoweDw00
8,Darren McFadden,OAK,RB,23,13,13,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,4,3,10,,,220,267.4,276.4,243.9,85,6,8,McFaDa00
9,Roddy White,ATL,WR,29,16,16,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,1,1,10,2,,201,316.2,320.2,258.7,84,3,9,WhitRo00
10,LeSean McCoy,PHI,RB,22,15,13,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,2,1,9,,,219,297.2,304.2,258.2,83,7,10,McCoLe01
11,Rashard Mendenhall,PIT,RB,23,16,16,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,2,2,13,,,218,241.0,249.0,229.5,82,8,11,MendRa00
12,Michael Vick,PHI,QB,30,12,12,233,372,3018,21,6,100,676,6.76,9,0,0,0,,0,11,3,9,,1,310,310.3,325.3,316.3,81,1,12,VickMi00
13,Greg Jennings,GNB,WR,27,16,16,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,2,,12,,,198,274.4,277.4,236.4,81,4,13,JennGr00
14,Michael Turner,ATL,RB,28,16,15,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,2,2,12,,,214,225.6,230.6,219.6,78,11,14,TurnMi00
15,Matt Forte,CHI,RB,25,16,16,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,3,2,9,1,,214,264.6,272.6,239.1,78,9,15,FortMa00
16,Ray Rice,BAL,RB,23,16,14,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,,6,,,214,276.6,282.6,245.1,78,10,16,RiceRa00
17,Aaron Rodgers,GNB,QB,27,15,15,312,475,3922,28,11,64,356,5.56,4,0,0,0,,0,4,1,4,,,304,304.5,322.5,315.5,75,2,17,RodgAa00
18,Mike Wallace,PIT,WR,24,16,16,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,1,,10,,,190,249.6,252.6,219.6,72,5,18,WallMi00
19,Calvin Johnson,DET,WR,25,15,15,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,1,,12,1,,189,266.2,269.2,227.7,72,6,19,JohnCa00
20,Tom Brady,NWE,QB,33,16,16,324,492,3900,36,4,31,30,0.97,1,0,0,0,,0,3,1,1,,,299,299.0,307.0,303.0,70,3,20,BradTo00
21,Maurice Jones-Drew,JAX,RB,25,14,14,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,2,2,7,,,200,234.1,243.1,218.1,64,12,21,DrewMa00
22,Steven Jackson,STL,RB,27,16,16,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,1,1,6,,,196,242.4,249.4,219.4,61,13,22,JackSt00
23,Jason Witten,DAL,TE,28,16,16,0,0,0,0,0,0,0,,0,128,94,1002,10.66,9,1,1,9,1,,154,248.2,252.2,201.2,58,1,23,WittJa00
24,Peyton Manning,IND,QB,34,16,16,450,679,4700,33,17,18,18,1.00,0,0,0,0,,0,3,1,0,,,286,285.8,306.8,302.8,57,4,24,MannPe00
25,Ahmad Bradshaw,NYG,RB,24,16,11,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,7,6,8,1,,193,239.9,251.9,216.4,57,14,25,BradAh00
26,Hakeem Nicks,NYG,WR,22,13,12,0,0,0,0,0,0,0,,0,128,79,1052,13.32,11,1,,11,,,171,250.2,253.2,210.7,54,7,26,NickHa01
27,Philip Rivers,SDG,QB,29,16,16,357,541,4710,30,13,29,52,1.79,0,0,0,0,,0,7,4,0,,1,282,281.6,301.6,294.6,53,5,27,RivePh00
28,Andre Johnson,HOU,WR,29,13,13,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,1,,8,,,171,256.6,259.6,213.6,53,8,28,JohnAn02
29,BenJarvus Green-Ellis,NWE,RB,25,16,11,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,0,,13,,,187,199.3,202.3,193.3,52,15,29,GreeBe00
30,Reggie Wayne,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,175,111,1355,12.21,6,1,1,6,,,170,280.5,284.5,225.0,52,9,30,WaynRe00
31,Stevie Johnson,BUF,WR,24,16,13,0,0,0,0,0,0,0,,0,141,82,1073,13.09,10,1,1,10,,,165,247.3,251.3,206.3,48,10,31,JohnSt00
32,DeSean Jackson,PHI,WR,24,14,14,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,4,1,8,,,162,209.0,216.0,185.5,44,11,32,JackDe00
33,Miles Austin,DAL,WR,26,16,16,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,1,1,8,,,159,228.4,232.4,193.9,42,12,33,AustMi00
34,Antonio Gates,SDG,TE,30,10,10,0,0,0,0,0,0,0,,0,65,50,782,15.64,10,0,,10,,,138,188.2,191.2,163.2,42,2,34,GateAn00
35,Mike Williams,TAM,WR,23,16,16,0,0,0,0,0,0,0,,0,129,65,964,14.83,11,3,2,11,,,158,223.4,228.4,190.9,41,13,35,WillMi04
36,Drew Brees,NOR,QB,31,16,16,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,9,2,0,,,269,270.2,297.2,291.7,40,6,36,BreeDr00
37,Jeremy Maclin,PHI,WR,22,16,16,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,1,1,10,,,158,228.0,232.0,193.0,40,14,37,MaclJe00
38,Vernon Davis,SFO,TE,26,16,16,0,0,0,0,0,0,0,,0,93,56,914,16.32,7,0,,7,1,,135,191.4,194.4,163.4,39,3,38,DaviVe00
39,Terrell Owens,CIN,WR,37,14,11,0,0,0,0,0,0,0,,0,139,72,983,13.65,9,0,,9,,,152,224.3,227.3,188.3,35,15,39,OwenTe00
